name,sport,specialty,city,county,facility_name,address,phone,website,instagram,facebook,credentials,age_groups,skill_level,price_per_session,price_notes,tier,source,notes
David Sopilka,baseball,catching,Chamblee,DeKalb,El Dojo,,,,,,Elite catching coach; described as "worth the drive" from Valdosta,All Ages,intermediate|advanced,,1.5 hour sessions,elite,facebook,"Multiple strong endorsements; parents drive from near Valdosta"
Aiden Berggren,baseball,catching,Canton,Cherokee,,,,,,,10+ years coaching; 4 years college baseball,All Ages,beginner|intermediate,,Fundamentals and blocking focus,strong,facebook,"Great for accountability and putting in the work"
Braden Hartman,baseball,catching,Buford,Gwinnett,Be Sports Training Buford,,,,,,,,All Ages,beginner|intermediate,,,strong,facebook,"Ask for Brian the owner"
Matt Castleberry,baseball,hitting,Alpharetta,Fulton,GrandSlam,,,,,,Former baseball background,All Ages,beginner|intermediate,,,local,facebook,"GrandSlam in Alpharetta on Westside Pkwy"
Matt Pritchett,baseball,hitting|pitching,,,,,,,,,,Multiple strong endorsements,All Ages,intermediate|advanced,,,elite,facebook,"Described as 'by far the best' by multiple parents"
Grit Academy Athletics,baseball,hitting|pitching|fielding,Alpharetta,Fulton|Forsyth,Grit Academy Athletics,,,,,,Full facility; multiple coaches,All Ages,beginner|intermediate|advanced,,,strong,facebook,"Located between exit 12 and 13 (Alpharetta/Cumming area)"
Jagger Iovinelli,baseball,pitching,Woodstock,Cherokee,Grit Academy Athletics,,,,,,"College/pro background",All Ages,intermediate|advanced,,,strong,facebook,"Frequently endorsed across multiple threads"
Cristoforo Romano,baseball,pitching,Marietta,Cobb,Harrison Park,,,,,,Former Detroit Tigers MiLB coach; Former Milwaukee Brewers MiLB coach; Masters in Exercise Science/Biomechanics,10U+,advanced|elite,70,"$70 cash / $80 Venmo first session (75 min); $60/$70 weekly includes 6-day remote program",elite,facebook,"Biomechanics + arm health; rehab/RTP specialist; 29 pitchers in program"
Chris Bootcheck,baseball,pitching,Woodstock,Cherokee,Auterson Baseball (The Hive),,,,,,"Former MLB pitcher",12U+,advanced|elite,,,elite,facebook,"Highly trusted; multiple endorsements"
Danny Borrell,baseball,pitching,Woodstock,Cherokee,Auterson Baseball (The Hive),,,,,,"Professional pitching pedigree",12U+,advanced|elite,,,elite,facebook,"Specialized high-level development"
Ryan Kennedy,baseball,pitching,Kennesaw,Cobb,D-BAT Kennesaw,,,,,,"Long-term development focus",10U+,intermediate|advanced|elite,,,elite,facebook,"Hard to book; very high demand"
Marvin Freeman,baseball,pitching,,,,,,,,,Former MLB pitcher,12U+,advanced|elite,,,elite,facebook,"High credibility; single mention"
Adam Brandenburg,baseball,pitching,,,SE Baseball,,,,,,"Strong pitching reputation",10U+,advanced|elite,,,strong,facebook,"One of the best; competitive player development"
Kameron Uter,baseball,pitching|hitting,Buford,Gwinnett,Be Sports Training,,,,,,,All Ages,intermediate|advanced,,,strong,facebook,"Repeatedly described as 'the best'"
Matt Costello,baseball,pitching,Flowery Branch,Hall,,,,,,,"Former pro pitcher; left-handed specialist",12U+,advanced|elite,,,elite,facebook,"Great match for lefty 13U-16U pitchers"
Justin Evans,baseball,pitching,Acworth,Cobb,Blaze Baseball,,,,,,"Former pro pitcher",10U+,intermediate|advanced|elite,,,strong,facebook,"Very strong ratings for pitching"
Antuan Aguirre,baseball,hitting|pitching|fielding,,,Relentless Sports Academy,,,,,,"College and pro background coaching staff",All Ages,beginner|intermediate|advanced,,,strong,facebook,"12 instructors; multiple personalities and coaching styles"
Willie Carter,baseball,hitting,Buford,Gwinnett,WC19 Pro Hit,"4450 Nelson Brogdon Blvd, Buford GA",,,,,"Former Atlanta Brave",All Ages,intermediate|advanced|elite,,Full pricing available,elite,flyer,"Former Atlanta Brave"
Alex Armstrong,baseball,pitching,,,,,470-413-4524,,,,"College pitching coach background",12U+,intermediate|advanced,,Velocity and arm care focus,strong,flyer,
Coach Marcus,baseball,hitting|fielding,Gwinnett,Gwinnett,2Smooth Baseball,,,,,,"Briar Cliff & Shiloh HS background",All Ages,beginner|intermediate,,,local,flyer,"Lessons at public parks; flexible locations"
Larry Reed,softball,pitching,,,Premier Fast Pitch Academy,,,,,,"Experienced softball instructor","6U|8U|10U|12U|14U",beginner|intermediate|advanced,,,strong,facebook,"Described as pouring heart and soul into coaching"
Brandon Evans,softball,hitting,Canton|Woodstock,Cherokee,Talkin Baseball,,,,,,"Strong hitting background",All Ages,beginner|intermediate,,,strong,facebook,"4+ parent recommendations for softball hitting"
Alicia Marie Mills,softball,pitching|hitting,Woodstock,Cherokee,,,,,,,"Softball specialist",All Ages,beginner|intermediate,,,local,facebook,"Described as fantastic"
Trip McKay,softball,pitching,,,,,,,,,Softball pitching specialist,All Ages,intermediate|advanced,,,strong,facebook,"Hands down endorsement"
Hannah Lane Triplett,softball,pitching,Watkinsville,Oconee,Della Torre Softball,,,,,,"Top-tier softball pitching",10U+,advanced|elite,,,elite,facebook,"Hands down the best; worth the drive from Metro Atlanta"
Jody Wisdom,softball,pitching|hitting,Loganville,Walton,,,,,,,"Softball legend status",All Ages,beginner|intermediate|advanced,,,elite,facebook,"Described as a legend"
Renee Espinoza Boulware,softball,pitching,Auburn,Barrow,,,,,,,"Softball legend status",All Ages,beginner|intermediate|advanced,,,elite,facebook,"Described as a legend"
Montana,softball,pitching|hitting,Monroe,Walton,,,,,,,"Softball instructor",All Ages,beginner|intermediate,,,local,facebook,"Contact via Facebook"
Kenneth Oh,baseball,hitting|fielding,Gainesville,Hall,The Dugout Gainesville,,,,,,"10 years coaching; college placement track record",All Ages,intermediate|advanced|elite,,,strong,facebook,"College-placement focus; 10 years experience"
Cacie Cutright,softball,pitching|hitting|fielding,,,,,,,,,West Georgia commit; competitive player background,"8U|10U|12U|14U",beginner|intermediate,,,local,flyer,"Full contact and pricing on file"
Kenley Benton,softball,pitching|hitting,Kennesaw,Cobb,D-BAT West Cobb,,,,,,"12+ years; competitive pedigree",All Ages,beginner|intermediate|advanced,,,strong,flyer,"Full schedule available"
Chase Coursey,baseball,hitting|pitching,,,,,,,,,Highly recommended,All Ages,beginner|intermediate,,,local,facebook,
Brack Hudson,baseball,hitting|fielding,,,Fundamentals,,,,,,,All Ages,beginner|intermediate,,,local,facebook,
Christopher Jay Scott,baseball,catching,,,,,,,,,Elite catching specialist,All Ages,intermediate|advanced,,,strong,facebook,"Described as best catching coach around"
Austin Holloway,baseball,hitting|pitching,,,643 Baseball,,,,,,"Strong reputation outside North GA",All Ages,intermediate|advanced,,,strong,facebook,"Not local but highly recommended"
